ID,Population,Species,Temp,Sex,Mother,Box,Treat
LI1C,LI,cm,29.036,0,LIC,LI1,29
LI1E,LI,cm,29.036,0,LIE,LI1,29
LI1B,LI,cm,29.036,1,LIB,LI1,29
LI1D,LI,cm,29.036,0,LID,LI1,29
LI1I,LI,cm,29.036,1,LII,LI1,29
LI2E,LI,cm,29.326,1,LIE,LI2,29
LI2H,LI,cm,29.326,1,LIH,LI2,29
LI2I,LI,cm,29.326,1,LII,LI2,29
LI2D,LI,cm,29.326,1,LID,LI2,29
LI3F,LI,cm,29.017,0,LIF,LI3,29
LI3D,LI,cm,29.017,1,LID,LI3,29
LI3G,LI,cm,29.017,0,LIG,LI3,29
LI3B,LI,cm,29.017,0,LIB,LI3,29
LI3H,LI,cm,29.017,0,LIH,LI3,29
LI4E,LI,cm,28.859,0,LIE,LI4,29
LI4G,LI,cm,28.859,0,LIG,LI4,29
LI4D,LI,cm,28.859,0,LID,LI4,29
LI4F,LI,cm,28.859,0,LIF,LI4,29
LI4I,LI,cm,28.859,1,LII,LI4,29
LI4C,LI,cm,28.859,0,LIC,LI4,29
LI5D,LI,cm,28.914,1,LID,LI5,29
LI5G,LI,cm,28.914,0,LIG,LI5,29
LI5C,LI,cm,28.914,0,LIC,LI5,29
LI6J,LI,cm,28.806,0,LIJ,LI6,29
LI6I,LI,cm,28.806,1,LII,LI6,29
LI6H,LI,cm,28.806,1,LIH,LI6,29
LI6F,LI,cm,28.806,0,LIF,LI6,29
LI7H,LI,cm,27.949,0,LIH,LI7,28
LI7D,LI,cm,27.949,1,LID,LI7,28
LI7I,LI,cm,27.949,1,LII,LI7,28
LI7C,LI,cm,27.949,1,LIC,LI7,28
LI8I,LI,cm,28.263,1,LII,LI8,28
LI8J,LI,cm,28.263,1,LIJ,LI8,28
LI8B,LI,cm,28.263,0,LIB,LI8,28
LI8D,LI,cm,28.263,1,LID,LI8,28
LI9I,LI,cm,27.985,1,LII,LI9,28
LI9H,LI,cm,27.985,1,LIH,LI9,28
LI9B,LI,cm,27.985,0,LIB,LI9,28
LI9D,LI,cm,27.985,1,LID,LI9,28
LI10D,LI,cm,27.89,1,LID,LI10,28
LI11C,LI,cm,28.156,1,LIC,LI11,28
LI11F,LI,cm,28.156,1,LIF,LI11,28
LI12G,LI,cm,28.019,1,LIG,LI12,28
LI12E,LI,cm,28.019,1,LIE,LI12,28
