ID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
328,0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2,396.9
458,8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94,13.5,3.5
6,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,28.7,394.12
329,0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3,382.44
61,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7,395.11
138,0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1,394.08
59,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86,23.3,390.68
82,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22,23.9,395.63
113,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,18.8,394.95
407,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,370.22,11.9,,23.34
330,0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,7.34,22.6,375.21
62,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16,378.08
375,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,396.9,13.8,,37.97
167,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7,50,369.3
164,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32,50,388.45
134,0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4,388.69
116,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,15.76,18.3,344.91
306,0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4,393.36
500,0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5,395.77
5,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33,36.2,396.9
335,0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,6.75,20.7,389.4
506,0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,7.88,11.9,396.9
215,0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7,348.93
18,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,14.67,17.5,386.75
63,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,22.2,396.9
404,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,396.9,8.3,,19.77
419,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,16.45,8.8,,20.62
24,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5,394.54
106,0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,19.5,394.05
433,6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1,97.95
343,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65,16.5,389.96
262,0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,7.26,43.1,388.37
279,0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,7.19,29.1,396.9
206,0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,10.87,22.6,396.9
242,0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,12.4,20.1,394.62
298,0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3,396.9
132,1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6,396.9
103,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6,70.8
325,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25,396.9
195,0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1,376.7
505,0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,6.48,22,393.45
163,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,1.92,50,389.61
212,0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3,395.24
342,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,5.49,32.7,394.74
86,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6,392.3
54,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,23.4,396.9
120,0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,13.61,19.3,391.5
126,0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,14.81,21.4,385.02
140,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8,396.9
365,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29,21.9,354.55
394,8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17,13.8,396.9
429,7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11,96.73
182,0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2,396.9
198,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,8.61,30.3,354.31
499,0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2,396.9
391,6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11,15.1,394.43
353,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,7.79,18.6,392.33
341,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7,396.9
192,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5,389.71
424,7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29,13.4,2.52
